2025-11-13_14-20-28 | → Fly to لمبة 2-back: N=105.9, E=19.7, D=-35.0, yaw=255.3
2025-11-13_14-20-28 | Reached لمبة 2-back
2025-11-13_14-20-28 | Target لمبة 3: rel N=104.5, E=5.3
2025-11-13_14-20-28 | → Fly to لمبة 3-cruise: N=104.5, E=5.3, D=-35.0, yaw=264.5
2025-11-13_14-20-31 | Reached لمبة 3-cruise
2025-11-13_14-20-31 | → Fly to لمبة 3-cap: N=104.5, E=5.3, D=-15.0, yaw=264.5
2025-11-13_14-20-31 | Reached لمبة 3-cap
2025-11-13_14-20-31 | Holding 15s…
2025-11-13_14-20-46 | Camera error لمبة 3
2025-11-13_14-20-46 | → Fly to لمبة 3-back: N=104.5, E=5.3, D=-35.0, yaw=264.5
2025-11-13_14-20-46 | Reached لمبة 3-back
2025-11-13_14-20-46 | Target لمبة 4: rel N=122.4, E=18.8
2025-11-13_14-20-46 | → Fly to لمبة 4-cruise: N=122.4, E=18.8, D=-35.0, yaw=36.9
2025-11-13_14-20-49 | Reached لمبة 4-cruise
2025-11-13_14-20-49 | → Fly to لمبة 4-cap: N=122.4, E=18.8, D=-15.0, yaw=36.9
2025-11-13_14-20-49 | Reached لمبة 4-cap
2025-11-13_14-20-49 | Holding 15s…
2025-11-13_14-21-04 | Camera error لمبة 4
2025-11-13_14-21-04 | → Fly to لمبة 4-back: N=122.4, E=18.8, D=-35.0, yaw=36.9
2025-11-13_14-21-04 | Reached لمبة 4-back
2025-11-13_14-21-04 | Target لمبة 5: rel N=-141.1, E=525.0
2025-11-13_14-21-04 | → Fly to لمبة 5-cruise: N=-141.1, E=525.0, D=-35.0, yaw=117.5
2025-11-13_14-21-54 | Reached لمبة 5-cruise
2025-11-13_14-21-54 | → Fly to لمبة 5-cap: N=-141.1, E=525.0, D=-15.0, yaw=117.5
2025-11-13_14-21-54 | Reached لمبة 5-cap
2025-11-13_14-21-54 | Holding 15s…
2025-11-13_14-22-09 | Camera error لمبة 5
2025-11-13_14-22-09 | → Fly to لمبة 5-back: N=-141.1, E=525.0, D=-35.0, yaw=117.5
2025-11-13_14-22-09 | Reached لمبة 5-back
2025-11-13_14-22-09 | Target لمبة 6: rel N=-132.5, E=411.4
2025-11-13_14-22-09 | → Fly to لمبة 6-cruise: N=-132.5, E=411.4, D=-35.0, yaw=274.3
2025-11-13_14-22-20 | Reached لمبة 6-cruise
2025-11-13_14-22-20 | → Fly to لمبة 6-cap: N=-132.5, E=411.4, D=-15.0, yaw=274.3
2025-11-13_14-22-20 | Reached لمبة 6-cap
2025-11-13_14-22-20 | Holding 15s…
2025-11-13_14-22-35 | Camera error لمبة 6
2025-11-13_14-22-35 | → Fly to لمبة 6-back: N=-132.5, E=411.4, D=-35.0, yaw=274.3
2025-11-13_14-22-35 | Reached لمبة 6-back
2025-11-13_14-22-35 | Target لمبة 7: rel N=-129.3, E=349.8
2025-11-13_14-22-35 | → Fly to لمبة 7-cruise: N=-129.3, E=349.8, D=-35.0, yaw=273.0
2025-11-13_14-22-42 | Reached لمبة 7-cruise
2025-11-13_14-22-42 | → Fly to لمبة 7-cap: N=-129.3, E=349.8, D=-15.0, yaw=273.0
2025-11-13_14-22-42 | Reached لمبة 7-cap
2025-11-13_14-22-42 | Holding 15s…
2025-11-13_14-22-57 | Camera error لمبة 7
2025-11-13_14-22-57 | → Fly to لمبة 7-back: N=-129.3, E=349.8, D=-35.0, yaw=273.0
